"","Dataset","ClusterK2_kmeans","ClusterK3_kmeans","ClusterK4_kmeans","ClusterK2_NMF","ClusterK3_NMF","ClusterK4_NMF"
"TCGA.20.0987","TCGA",2,3,3,2,3,3
"TCGA.23.1031","TCGA",1,2,2,1,2,4
"TCGA.24.0979","TCGA",1,3,4,1,3,4
"TCGA.23.1117","TCGA",2,1,1,2,1,1
"TCGA.23.1021","TCGA",1,3,4,1,3,4
"TCGA.04.1337","TCGA",2,1,1,2,1,1
"TCGA.20.0990","TCGA",1,2,2,1,2,2
"TCGA.23.1032","TCGA",1,2,2,1,2,2
"TCGA.23.1118","TCGA",2,3,4,2,3,4
"TCGA.23.1026","TCGA",2,1,3,2,1,3
"TCGA.20.0991","TCGA",2,3,3,2,3,3
"TCGA.24.1103","TCGA",1,3,4,1,3,4
"TCGA.24.0982","TCGA",1,2,4,1,2,4
"TCGA.23.1119","TCGA",2,3,4,2,2,2
"TCGA.23.1028","TCGA",2,3,4,2,3,4
"TCGA.04.1341","TCGA",1,2,2,1,2,2
"TCGA.20.0996","TCGA",2,3,4,1,2,4
"TCGA.24.1104","TCGA",2,3,4,2,3,4
"TCGA.23.1107","TCGA",1,3,4,1,3,3
"TCGA.23.1120","TCGA",2,3,4,2,3,4
"TCGA.23.1030","TCGA",1,3,4,1,2,4
"TCGA.04.1342","TCGA",2,3,4,2,2,4
"TCGA.23.1022","TCGA",1,2,2,1,2,2
"TCGA.24.1105","TCGA",1,3,4,1,2,4
"TCGA.23.1109","TCGA",2,1,1,1,1,1
"TCGA.23.1121","TCGA",1,2,2,1,2,2
"TCGA.04.1331","TCGA",1,2,2,1,2,2
"TCGA.04.1343","TCGA",2,1,1,2,1,4
"TCGA.23.1023","TCGA",2,1,1,2,1,1
"TCGA.24.0968","TCGA",2,1,3,2,1,3
"TCGA.23.1110","TCGA",1,2,2,1,2,2
"TCGA.23.1122","TCGA",1,3,4,1,2,2
"TCGA.04.1332","TCGA",2,1,1,2,1,1
"TCGA.04.1346","TCGA",2,3,4,2,3,4
"TCGA.23.1024","TCGA",1,2,4,1,2,2
"TCGA.24.0970","TCGA",2,1,1,1,1,1
"TCGA.23.1113","TCGA",1,2,4,1,2,4
"TCGA.23.1123","TCGA",1,3,3,1,3,3
"TCGA.04.1335","TCGA",1,3,4,1,3,4
"TCGA.04.1347","TCGA",1,2,2,1,2,2
"TCGA.23.1027","TCGA",2,1,1,2,1,4
"TCGA.24.0975","TCGA",2,1,1,2,1,1
"TCGA.23.1116","TCGA",2,1,1,2,1,1
"TCGA.23.1124","TCGA",2,3,4,2,3,4
"TCGA.04.1336","TCGA",2,3,4,2,3,4
"TCGA.04.1338","TCGA",2,1,1,2,1,1
"TCGA.24.1425","TCGA",2,1,1,2,1,1
"TCGA.24.1474","TCGA",1,3,3,1,3,2
"TCGA.24.1549","TCGA",2,3,3,2,3,3
"TCGA.24.1564","TCGA",2,1,1,2,1,1
"TCGA.24.1469","TCGA",1,2,2,1,2,2
"TCGA.24.1550","TCGA",2,1,1,2,1,1
"TCGA.24.1565","TCGA",2,3,4,2,3,4
"TCGA.24.1470","TCGA",2,3,3,2,3,3
"TCGA.24.1551","TCGA",2,3,3,2,3,3
"TCGA.24.1603","TCGA",1,3,4,1,3,3
"TCGA.24.1471","TCGA",2,3,4,1,3,4
"TCGA.24.1552","TCGA",2,3,4,2,3,4
"TCGA.24.1604","TCGA",2,3,4,1,3,4
"TCGA.24.1553","TCGA",2,3,3,2,3,4
"TCGA.24.1614","TCGA",1,2,4,1,2,4
"TCGA.04.1514","TCGA",1,2,2,1,2,2
"TCGA.24.1555","TCGA",1,3,4,1,3,4
"TCGA.24.1616","TCGA",1,3,4,1,2,4
"TCGA.04.1530","TCGA",2,1,1,2,1,1
"TCGA.24.1562","TCGA",2,1,1,2,1,4
"TCGA.04.1542","TCGA",1,2,2,1,2,4
"TCGA.24.1563","TCGA",2,1,1,2,1,1
"TCGA.13.0758","TCGA",2,3,3,2,3,3
"TCGA.09.0364","TCGA",1,2,2,1,2,2
"TCGA.13.0723","TCGA",2,3,3,2,3,3
"TCGA.13.0757","TCGA",1,2,2,1,2,2
"TCGA.13.0768","TCGA",2,1,1,2,1,1
"TCGA.13.0800","TCGA",1,2,2,1,2,2
"TCGA.09.0365","TCGA",1,2,2,1,2,2
"TCGA.13.0724","TCGA",1,3,4,1,2,4
"TCGA.13.0791","TCGA",2,3,3,2,3,3
"TCGA.13.0801","TCGA",2,3,3,2,3,3
"TCGA.09.0366","TCGA",2,3,3,2,3,3
"TCGA.13.0725","TCGA",2,3,3,2,1,3
"TCGA.13.0792","TCGA",2,3,3,2,3,3
"TCGA.13.0802","TCGA",1,2,2,1,2,2
"TCGA.09.0367","TCGA",2,3,4,2,3,4
"TCGA.13.0793","TCGA",2,1,1,2,1,4
"TCGA.13.0803","TCGA",2,3,4,2,3,4
"TCGA.09.0369","TCGA",1,2,2,1,2,2
"TCGA.13.0727","TCGA",1,2,4,1,2,4
"TCGA.13.0762","TCGA",1,2,4,1,2,4
"TCGA.13.0794","TCGA",1,2,2,1,2,2
"TCGA.13.0804","TCGA",2,3,4,2,3,4
"TCGA.13.0714","TCGA",2,1,1,2,1,1
"TCGA.13.0730","TCGA",1,2,2,1,2,2
"TCGA.13.0795","TCGA",2,3,3,2,3,3
"TCGA.13.0805","TCGA",2,1,3,2,1,3
"TCGA.13.0717","TCGA",1,2,2,1,2,2
"TCGA.13.0765","TCGA",2,3,4,2,3,4
"TCGA.13.0797","TCGA",2,3,4,2,3,4
"TCGA.13.0720","TCGA",2,3,4,2,3,4
"TCGA.13.0755","TCGA",2,3,3,2,3,3
"TCGA.13.0799","TCGA",1,2,4,1,2,2
"TCGA.13.0766","TCGA",2,3,3,1,2,2
"TCGA.13.0764","TCGA",2,3,3,2,3,3
"TCGA.13.0761","TCGA",2,1,1,2,1,1
"TCGA.25.1312","TCGA",1,2,4,1,2,2
"TCGA.25.1320","TCGA",2,1,1,2,1,1
"TCGA.25.1329","TCGA",2,1,1,2,1,1
"TCGA.04.1361","TCGA",2,3,4,2,3,4
"TCGA.13.0894","TCGA",2,1,1,2,1,1
"TCGA.13.1407","TCGA",1,2,2,1,2,2
"TCGA.25.1313","TCGA",2,3,3,2,3,4
"TCGA.25.1321","TCGA",1,3,4,1,3,4
"TCGA.04.1348","TCGA",2,3,3,2,3,3
"TCGA.04.1362","TCGA",2,3,4,1,3,4
"TCGA.13.0900","TCGA",2,1,1,2,1,1
"TCGA.25.1314","TCGA",2,3,4,2,3,4
"TCGA.25.1322","TCGA",2,3,3,2,3,3
"TCGA.04.1349","TCGA",2,3,4,2,3,4
"TCGA.04.1364","TCGA",1,2,2,1,2,2
"TCGA.13.0901","TCGA",1,1,1,1,2,2
"TCGA.13.1409","TCGA",1,2,2,1,2,4
"TCGA.25.1315","TCGA",1,2,2,1,2,2
"TCGA.25.1323","TCGA",1,2,2,1,2,2
"TCGA.04.1350","TCGA",1,2,2,1,2,2
"TCGA.04.1365","TCGA",2,3,3,2,3,3
"TCGA.13.0905","TCGA",2,3,4,2,3,4
"TCGA.25.1318","TCGA",2,3,4,2,1,4
"TCGA.25.1326","TCGA",2,1,1,2,1,1
"TCGA.04.1357","TCGA",2,3,3,2,3,3
"TCGA.13.0884","TCGA",2,3,4,2,3,4
"TCGA.13.1404","TCGA",2,3,4,2,1,1
"TCGA.24.1413","TCGA",1,3,4,1,3,4
"TCGA.25.1319","TCGA",1,3,4,1,3,3
"TCGA.25.1328","TCGA",2,1,1,2,1,1
"TCGA.04.1360","TCGA",1,2,2,1,2,2
"TCGA.13.0893","TCGA",2,3,3,2,3,3
"TCGA.13.1405","TCGA",2,1,1,2,1,1
"TCGA.25.1316","TCGA",1,2,2,1,2,2
"TCGA.25.1324","TCGA",1,2,2,1,2,2
"TCGA.04.1351","TCGA",1,2,2,1,2,2
"TCGA.04.1367","TCGA",1,3,4,1,3,4
"TCGA.13.0908","TCGA",2,1,1,2,1,1
"TCGA.13.1411","TCGA",2,1,1,2,1,1
"TCGA.25.1317","TCGA",1,2,2,1,2,4
"TCGA.25.1325","TCGA",1,3,4,1,3,3
"TCGA.04.1356","TCGA",1,2,4,1,2,4
"TCGA.04.1371","TCGA",1,2,2,1,2,2
"TCGA.13.1403","TCGA",2,3,4,2,3,4
"TCGA.13.1412","TCGA",2,1,1,2,1,4
"TCGA.13.1408","TCGA",2,1,1,2,1,1
"TCGA.09.2043","TCGA",2,3,4,2,3,4
"TCGA.24.2262","TCGA",2,1,1,2,1,1
"TCGA.25.2393","TCGA",1,2,2,1,2,2
"TCGA.24.2267","TCGA",2,3,3,2,3,3
"TCGA.24.2295","TCGA",1,2,2,1,2,2
"TCGA.25.2396","TCGA",2,3,3,2,3,3
"TCGA.25.2409","TCGA",2,3,1,2,1,4
"TCGA.24.2297","TCGA",1,3,4,1,2,4
"TCGA.25.2397","TCGA",2,3,4,2,3,4
"TCGA.09.2049","TCGA",1,2,2,1,2,2
"TCGA.24.2280","TCGA",2,1,1,2,1,1
"TCGA.25.2398","TCGA",2,1,1,2,1,1
"TCGA.29.2425","TCGA",1,2,2,1,2,4
"TCGA.09.2050","TCGA",1,2,2,1,2,2
"TCGA.25.2042","TCGA",2,1,1,2,1,1
"TCGA.25.2399","TCGA",2,1,1,2,1,3
"TCGA.29.2427","TCGA",2,3,3,2,3,3
"TCGA.59.2355","TCGA",2,3,4,2,3,4
"TCGA.24.2288","TCGA",2,1,1,2,1,1
"TCGA.25.2400","TCGA",1,2,4,1,3,2
"TCGA.59.2363","TCGA",1,2,2,1,2,2
"TCGA.09.2055","TCGA",2,3,3,1,3,3
"TCGA.25.2391","TCGA",2,3,3,2,3,3
"TCGA.25.2401","TCGA",2,1,1,2,1,1
"TCGA.59.2348","TCGA",2,3,4,2,3,4
"TCGA.09.2053","TCGA",1,2,4,1,2,4
"TCGA.23.2084","TCGA",2,3,3,2,3,3
"TCGA.24.2254","TCGA",2,1,1,2,1,1
"TCGA.61.2002","TCGA",2,1,1,2,1,3
"TCGA.61.2087","TCGA",2,3,3,2,3,3
"TCGA.61.2101","TCGA",2,1,1,1,1,1
"TCGA.09.2054","TCGA",1,2,2,1,2,2
"TCGA.24.2019","TCGA",1,2,4,1,2,2
"TCGA.24.2260","TCGA",1,2,4,1,2,4
"TCGA.61.2088","TCGA",1,2,2,1,2,2
"TCGA.61.2009","TCGA",2,1,1,2,1,1
"TCGA.09.2056","TCGA",2,3,3,2,3,3
"TCGA.24.2024","TCGA",2,1,1,2,1,4
"TCGA.24.2261","TCGA",2,3,3,2,3,3
"TCGA.61.2008","TCGA",2,3,4,2,1,4
"TCGA.61.2092","TCGA",1,3,4,1,3,3
"TCGA.61.2104","TCGA",2,3,3,2,3,4
"TCGA.23.2072","TCGA",2,3,4,2,3,4
"TCGA.24.2030","TCGA",1,2,2,1,2,2
"TCGA.61.1734","TCGA",2,3,4,1,3,4
"TCGA.61.2018","TCGA",2,3,3,2,3,3
"TCGA.23.2077","TCGA",2,3,4,2,3,3
"TCGA.24.2033","TCGA",2,1,1,1,2,1
"TCGA.61.1736","TCGA",2,3,4,2,3,4
"TCGA.61.2012","TCGA",2,3,3,2,3,3
"TCGA.61.2095","TCGA",2,1,1,2,1,1
"TCGA.23.2078","TCGA",2,1,1,2,1,1
"TCGA.24.2035","TCGA",2,1,1,2,1,1
"TCGA.61.1995","TCGA",2,3,4,2,3,4
"TCGA.61.2016","TCGA",2,3,3,2,3,3
"TCGA.61.2096","TCGA",1,2,4,1,2,2
"TCGA.61.2000","TCGA",2,3,3,2,3,3
"TCGA.23.2079","TCGA",2,3,3,2,3,3
"TCGA.24.2036","TCGA",1,2,4,1,2,2
"TCGA.61.1998","TCGA",2,1,1,2,1,1
"TCGA.61.2097","TCGA",2,1,1,2,1,4
"TCGA.61.2113","TCGA",2,1,1,2,1,1
"TCGA.23.2081","TCGA",2,3,4,2,1,4
"TCGA.61.2094","TCGA",2,3,3,2,3,3
"TCGA.61.2098","TCGA",1,2,2,1,2,2
"TCGA.61.2109","TCGA",2,3,4,2,3,4
"TCGA.61.2102","TCGA",1,2,2,1,2,2
"TCGA.61.2003","TCGA",2,1,1,2,1,1
"TCGA.61.2111","TCGA",1,2,2,1,2,2
"TCGA.04.1654","TCGA",2,3,3,2,3,3
"TCGA.24.2020","TCGA",1,2,2,1,2,2
"TCGA.25.1878","TCGA",2,3,3,2,3,3
"TCGA.31.1951","TCGA",2,1,1,2,1,1
"TCGA.24.2023","TCGA",2,3,3,2,3,3
"TCGA.30.1853","TCGA",1,2,2,1,2,4
"TCGA.30.1880","TCGA",2,3,4,2,3,4
"TCGA.31.1953","TCGA",2,1,3,2,1,3
"TCGA.61.1724","TCGA",2,3,4,2,3,4
"TCGA.24.1920","TCGA",2,3,3,1,3,3
"TCGA.24.2026","TCGA",2,3,3,2,3,3
"TCGA.30.1859","TCGA",1,2,2,1,2,4
"TCGA.30.1887","TCGA",2,1,1,2,1,3
"TCGA.61.1728","TCGA",1,3,4,1,2,4
"TCGA.24.1923","TCGA",2,3,4,1,2,4
"TCGA.24.2027","TCGA",1,2,2,1,2,2
"TCGA.30.1860","TCGA",2,3,3,2,3,3
"TCGA.30.1891","TCGA",2,1,1,2,1,1
"TCGA.31.1956","TCGA",2,1,1,2,1,1
"TCGA.61.1743","TCGA",1,2,4,1,2,2
"TCGA.24.1924","TCGA",2,3,3,2,3,3
"TCGA.24.2029","TCGA",2,1,1,2,1,1
"TCGA.30.1861","TCGA",2,1,1,2,1,1
"TCGA.30.1892","TCGA",2,1,1,2,1,1
"TCGA.31.1959","TCGA",2,1,1,2,1,1
"TCGA.61.1917","TCGA",2,3,3,2,3,3
"TCGA.25.1870","TCGA",1,2,4,1,2,4
"TCGA.30.1862","TCGA",2,1,1,2,1,1
"TCGA.31.1944","TCGA",2,3,3,2,3,3
"TCGA.57.1992","TCGA",1,2,2,1,2,2
"TCGA.61.1918","TCGA",2,3,4,2,3,4
"TCGA.24.1928","TCGA",2,1,1,2,1,1
"TCGA.25.1871","TCGA",1,2,2,1,2,2
"TCGA.30.1866","TCGA",1,3,4,1,3,3
"TCGA.31.1946","TCGA",2,1,1,2,1,3
"TCGA.57.1993","TCGA",2,3,4,1,3,3
"TCGA.61.1919","TCGA",2,1,1,2,1,1
"TCGA.24.1930","TCGA",2,1,3,2,1,3
"TCGA.25.1877","TCGA",1,2,2,1,2,2
"TCGA.31.1950","TCGA",2,3,3,2,3,3
"TCGA.04.1517","TCGA",1,2,4,1,2,4
"TCGA.24.1556","TCGA",2,3,3,2,3,3
"TCGA.36.1571","TCGA",1,2,2,1,2,2
"TCGA.57.1582","TCGA",1,2,4,1,2,2
"TCGA.25.1628","TCGA",2,1,1,2,1,1
"TCGA.25.1634","TCGA",1,2,2,1,2,2
"TCGA.36.1576","TCGA",2,1,1,2,1,1
"TCGA.24.1557","TCGA",1,3,4,1,3,4
"TCGA.09.1659","TCGA",2,3,4,2,3,4
"TCGA.25.1625","TCGA",2,3,3,2,3,4
"TCGA.09.1661","TCGA",1,2,2,1,2,4
"TCGA.09.1662","TCGA",2,3,4,2,3,4
"TCGA.04.1525","TCGA",1,3,4,1,3,4
"TCGA.24.1558","TCGA",1,2,4,1,2,2
"TCGA.36.1575","TCGA",1,2,2,1,2,2
"TCGA.57.1584","TCGA",2,3,4,2,3,4
"TCGA.25.1631","TCGA",1,3,4,1,3,4
"TCGA.09.1665","TCGA",1,3,4,1,3,3
"TCGA.04.1536","TCGA",2,3,4,2,3,4
"TCGA.36.1578","TCGA",2,3,3,2,3,3
"TCGA.25.1627","TCGA",1,2,4,1,2,2
"TCGA.04.1519","TCGA",1,2,2,1,2,4
"TCGA.25.1630","TCGA",2,3,3,2,3,3
"TCGA.24.1560","TCGA",1,2,4,1,3,2
"TCGA.24.1544","TCGA",1,2,2,1,2,2
"TCGA.24.1567","TCGA",1,2,2,1,2,2
"TCGA.36.1577","TCGA",1,2,2,1,2,2
"TCGA.25.1623","TCGA",2,1,1,2,1,1
"TCGA.25.1633","TCGA",2,1,1,2,1,1
"TCGA.09.1667","TCGA",2,3,3,2,3,3
"TCGA.24.1545","TCGA",2,1,1,2,1,1
"TCGA.36.1568","TCGA",2,3,4,2,3,4
"TCGA.57.1583","TCGA",1,2,4,1,2,4
"TCGA.36.1581","TCGA",2,3,3,2,3,3
"TCGA.09.1666","TCGA",2,3,4,2,3,3
"TCGA.25.1632","TCGA",1,2,2,1,2,4
"TCGA.24.1546","TCGA",2,1,1,2,1,1
"TCGA.36.1569","TCGA",2,1,1,2,1,1
"TCGA.36.1580","TCGA",2,1,1,2,1,1
"TCGA.25.1626","TCGA",2,1,1,2,1,1
"TCGA.25.1635","TCGA",2,1,1,2,1,1
"TCGA.09.1669","TCGA",1,2,2,1,2,2
"TCGA.24.1548","TCGA",1,2,2,1,2,2
"TCGA.36.1570","TCGA",1,3,4,1,3,4
"TCGA.57.1585","TCGA",2,1,1,2,1,1
"TCGA.09.1668","TCGA",2,1,1,2,1,3
"TCGA.36.1574","TCGA",2,1,3,2,3,3
"TCGA.29.2434","TCGA",1,2,2,1,2,2
"TCGA.23.2643","TCGA",1,2,2,1,2,2
"TCGA.29.2436","TCGA",2,3,3,2,3,3
"TCGA.23.2645","TCGA",2,3,3,2,3,3
"TCGA.42.2582","TCGA",1,2,2,1,2,2
"TCGA.13.2059","TCGA",2,1,1,2,1,1
"TCGA.36.2530","TCGA",2,1,1,2,1,1
"TCGA.36.2542","TCGA",1,2,2,1,2,2
"TCGA.42.2587","TCGA",1,2,2,1,2,2
"TCGA.23.2649","TCGA",2,1,1,2,1,1
"TCGA.36.2543","TCGA",2,3,3,2,3,3
"TCGA.59.2372","TCGA",2,3,3,2,3,3
"TCGA.13.2065","TCGA",2,1,1,2,1,1
"TCGA.29.2429","TCGA",2,1,1,2,1,1
"TCGA.36.2533","TCGA",1,2,4,1,2,2
"TCGA.42.2589","TCGA",2,3,3,1,3,3
"TCGA.29.2431","TCGA",1,3,4,1,3,2
"TCGA.36.2534","TCGA",2,3,4,2,1,4
"TCGA.36.2545","TCGA",2,3,3,2,3,3
"TCGA.61.2612","TCGA",2,3,4,2,3,4
"TCGA.23.1114","TCGA",1,2,2,1,2,2
"TCGA.29.1691","TCGA",1,3,3,1,2,2
"TCGA.29.1701","TCGA",2,1,3,2,1,3
"TCGA.30.1718","TCGA",2,1,1,2,1,3
"TCGA.29.1771","TCGA",2,3,4,2,3,4
"TCGA.57.1586","TCGA",1,3,4,1,3,4
"TCGA.20.1683","TCGA",1,2,2,1,2,2
"TCGA.29.1693","TCGA",2,1,1,2,1,1
"TCGA.29.1702","TCGA",1,2,2,1,2,2
"TCGA.29.1761","TCGA",2,3,3,2,3,3
"TCGA.29.1781","TCGA",2,3,3,2,3,3
"TCGA.04.1655","TCGA",1,2,2,1,2,4
"TCGA.20.1684","TCGA",1,2,2,1,2,2
"TCGA.29.1703","TCGA",1,3,4,1,3,4
"TCGA.29.1762","TCGA",1,2,2,1,2,2
"TCGA.29.1783","TCGA",2,3,4,2,1,4
"TCGA.09.1670","TCGA",2,3,4,1,3,4
"TCGA.20.1685","TCGA",1,3,4,1,3,3
"TCGA.29.1695","TCGA",2,1,1,2,1,1
"TCGA.29.1705","TCGA",2,1,1,2,1,1
"TCGA.29.1763","TCGA",1,2,4,1,2,4
"TCGA.29.1784","TCGA",2,3,3,2,3,3
"TCGA.20.1686","TCGA",1,3,4,1,3,2
"TCGA.29.1696","TCGA",2,3,4,1,3,3
"TCGA.29.1707","TCGA",2,3,3,2,3,3
"TCGA.29.1764","TCGA",2,1,1,2,1,1
"TCGA.29.1785","TCGA",2,3,3,2,3,3
"TCGA.09.1673","TCGA",1,2,2,1,2,2
"TCGA.20.1687","TCGA",2,3,4,2,3,4
"TCGA.29.1697","TCGA",1,2,2,1,2,2
"TCGA.29.1710","TCGA",2,1,1,2,1,1
"TCGA.29.1766","TCGA",2,1,1,2,1,1
"TCGA.23.1809","TCGA",1,2,2,1,2,2
"TCGA.09.1674","TCGA",1,2,2,1,2,2
"TCGA.29.1688","TCGA",2,3,3,2,3,3
"TCGA.29.1698","TCGA",2,1,1,2,1,1
"TCGA.29.1711","TCGA",2,3,3,2,3,3
"TCGA.29.1768","TCGA",2,1,1,2,1,1
"TCGA.24.1847","TCGA",2,3,3,2,3,3
"TCGA.09.1675","TCGA",1,3,4,1,3,4
"TCGA.29.1690","TCGA",2,1,1,2,1,1
"TCGA.29.1699","TCGA",2,3,3,2,3,3
"TCGA.30.1714","TCGA",1,2,4,1,2,2
"TCGA.29.1770","TCGA",2,1,1,2,1,1
"TCGA.04.1638","TCGA",1,3,4,1,2,4
"TCGA.30.1856","TCGA",2,3,3,2,3,3
"TCGA.61.1738","TCGA",2,3,3,2,3,3
"TCGA.29.1778","TCGA",1,3,4,1,3,4
"TCGA.24.1849","TCGA",2,1,1,2,1,1
"TCGA.61.1906","TCGA",2,3,3,2,3,3
"TCGA.04.1646","TCGA",1,2,2,1,2,2
"TCGA.30.1857","TCGA",2,1,1,2,1,1
"TCGA.61.1740","TCGA",2,3,3,2,3,3
"TCGA.23.1029","TCGA",1,3,4,1,3,4
"TCGA.24.1850","TCGA",2,1,1,2,1,2
"TCGA.61.1907","TCGA",2,3,3,2,3,3
"TCGA.04.1648","TCGA",2,3,4,1,3,4
"TCGA.61.1722","TCGA",2,1,3,2,1,3
"TCGA.61.1741","TCGA",1,2,2,1,2,2
"TCGA.23.1111","TCGA",1,2,4,1,2,4
"TCGA.61.1895","TCGA",2,1,3,2,1,3
"TCGA.61.1910","TCGA",1,3,4,1,3,4
"TCGA.04.1649","TCGA",2,3,4,1,3,4
"TCGA.61.1725","TCGA",2,1,3,2,1,3
"TCGA.29.1769","TCGA",2,1,3,2,1,3
"TCGA.24.1842","TCGA",2,3,3,2,3,3
"TCGA.61.1899","TCGA",1,3,4,1,3,4
"TCGA.61.1911","TCGA",2,3,3,2,3,3
"TCGA.04.1651","TCGA",2,3,4,1,3,4
"TCGA.61.1727","TCGA",2,3,3,2,3,3
"TCGA.29.1774","TCGA",1,2,2,1,2,2
"TCGA.24.1843","TCGA",2,3,3,2,3,3
"TCGA.61.1900","TCGA",1,2,2,1,2,2
"TCGA.61.1913","TCGA",2,3,3,2,3,3
"TCGA.04.1652","TCGA",1,2,4,1,2,4
"TCGA.61.1730","TCGA",1,2,2,1,2,2
"TCGA.29.1775","TCGA",1,2,2,1,2,2
"TCGA.24.1844","TCGA",1,2,4,1,2,2
"TCGA.61.1901","TCGA",2,3,4,2,3,4
"TCGA.61.1914","TCGA",2,3,3,2,3,3
"TCGA.61.1733","TCGA",2,1,1,1,1,1
"TCGA.29.1776","TCGA",2,1,1,2,1,4
"TCGA.24.1845","TCGA",2,3,4,2,3,4
"TCGA.61.1903","TCGA",2,3,3,2,3,3
"TCGA.61.1915","TCGA",2,3,3,2,3,3
